celltype,area_type,beta_scz,se,pval,ci_lo,ci_hi,pct_change_scz,n_ctrl,n_scz,n_samples_ctrl,n_samples_scz,converged,fdr
Vip_1,nucleus,0.03813,0.0326,0.2421,-0.02576,0.10201,3.89,1343,1503,12,12,True,0.9817
Vip_11,cell,-0.03752,0.02147,0.0805,-0.0796,0.00456,-3.68,553,429,12,12,True,0.6520
Vip_11,nucleus,-0.06095,0.04083,0.1355,-0.14098,0.01907,-5.91,553,429,12,12,True,0.7741
Vip_12,cell,-0.00786,0.01886,0.6768,-0.04483,0.0291,-0.78,1141,698,12,12,True,0.9485
Vip_12,nucleus,-0.00072,0.03842,0.9850,-0.07603,0.07458,-0.07,1141,698,12,12,True,0.9850
Vip_13,cell,0.00011,0.01851,0.9951,-0.03617,0.03639,0.01,1085,653,12,12,True,0.9951
Vip_13,nucleus,0.02232,0.03297,0.4985,-0.04231,0.08694,2.26,1085,653,12,12,True,0.9817
Vip_15,cell,-0.01378,0.03021,0.6483,-0.07299,0.04543,-1.37,949,659,12,12,True,0.9485
Vip_15,nucleus,-0.01705,0.0656,0.7950,-0.14562,0.11153,-1.69,949,659,12,12,True,0.9817
Vip_16,cell,0.00251,0.02917,0.9314,-0.05467,0.05969,0.25,374,430,12,12,True,0.9638
Vip_16,nucleus,0.00339,0.04475,0.9396,-0.08431,0.09109,0.34,374,430,12,12,True,0.9817
Vip_18,cell,-0.00198,0.02,0.9212,-0.04118,0.03722,-0.2,921,786,12,12,True,0.9638
Vip_18,nucleus,-0.00437,0.045,0.9226,-0.09256,0.08382,-0.44,921,786,12,12,True,0.9817
Vip_19,cell,-0.03336,0.0233,0.1521,-0.07902,0.0123,-3.28,1226,998,12,12,True,0.6520
