supertype,region,n_samples,n_ctrl,n_scz,ctrl_mean_density,scz_mean_density,logFC,coef,se,tstat,pval,class,fdr
Oligo_1,L1-L6,24,12,12,3.8244784118229513,5.428193503217311,0.35018429536112244,0.03419195821879495,0.21664961993767778,0.15782145488476154,0.876262702089001,NN,0.9711911614819762
L6 CT_3,L1-L6,24,12,12,1.8285495932735654,1.8391439063759825,0.0057771144556608,-0.025065742178832173,0.1929091758016338,-0.12993545835583775,0.8979832530869555,Glut,0.9789314658711228
Vip_6,L1-L6,24,12,12,0.39663049662117295,0.35398476520359784,-0.11375123223155782,-0.008156312568992019,0.0686902737969332,-0.11874042885757391,0.9067274284380143,GABA,0.9789314658711228
L2/3 IT_1,L1-L6,24,12,12,26.018267304454287,24.93720952934007,-0.04243783331850978,-0.021392507306190023,0.18213195956691736,-0.1174560870978285,0.907731401445769,Glut,0.9789314658711228
L6 IT Car3_2,L1-L6,24,12,12,1.211583975375365,1.2455037476870157,0.02761149061654279,0.017554140057450207,0.17059095217919287,0.10290194077239755,0.9191191313486266,Glut,0.9789314658711228
Sncg_4,L1-L6,24,12,12,1.6091489767331784,1.6428151573354495,0.0207058762172187,0.00973253354117995,0.09568399382970548,0.10171537737546282,0.9200483701796267,GABA,0.9789314658711228
L6 IT_2,L1-L6,24,12,12,11.640942020260878,13.455540888082012,0.1448626145496623,0.026485547652795427,0.2947941196208191,0.08984421971124336,0.9293513549603208,Glut,0.9795026623184249
Pvalb_2,L1-L6,24,12,12,2.164152987155923,2.198097101694327,0.01556297734762941,-0.00590782461682543,0.07183471731069221,-0.0822419136317264,0.9353145722890223,GABA,0.9795026623184249
L2/3 IT_12,L1-L6,24,12,12,14.429939150979386,13.937070676539038,-0.03475291066666228,-0.003507402819366401,0.15094102251819913,-0.023236909097680912,0.9817036057142114,Glut,0.9976382815975842
Astro_4,L1-L6,24,12,12,7.147529586735929,8.164068180356061,0.1329758115965745,0.004121104965474354,0.20669057499221666,0.01993852388106977,0.9843003126398102,NN,0.9976382815975842
Micro-PVM_4-SEAAD,L1-L6,24,12,12,0.7621769662555309,0.7081794279925461,-0.07348127694986407,-0.002181091331231455,0.1323292444411004,-0.01648230775021357,0.9870214668589012,NN,0.9976382815975842
Sst Chodl_2,L1-L6,24,12,12,0.25314067788942834,0.24923126742183824,-0.015564123046093607,0.0005657994748227979,0.034484976876096904,0.016407129308965235,0.9870806584199276,GABA,0.9976382815975842
Micro-PVM_2_3-SEAAD,L1-L6,24,12,12,15.966454533685086,13.609105925018314,-0.159750807668642,0.0031580889291134007,0.25214032617693843,0.012525124310726976,0.9901372418863241,NN,0.9976382815975842
Sst_19,L1-L6,24,12,12,2.9453253487527413,2.8684716730780657,-0.026439916117978992,-7.013753456497351e-05,0.0912904920912,-0.0007682895880866268,0.9993950030397265,GABA,0.9993950030397265
