compartment,stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,ctrl_mean,scz_mean,scz_pval_fdr,scz_pval_fdr_stratum
Neuronal,L2/3,Pvalb_2,0.0006665001835278399,0.00037239601352665667,0.08864616056783742,-2.9759804207157435e-05,0.9372837012888784,-1.5806605951199303e-05,0.4729038996654402,0.1468347981876723,24,0.001682628264180092,0.0023056566659238917,0.42706191328512594,0.40777233861205214
Neuronal,L6,Oligo_1,0.0003160918407890264,0.00017680102547769423,0.08896501989762191,0.00031648486572827863,0.08946937285002667,-5.502763655951063e-06,0.5975632572192314,0.2540891490093816,24,0.0004941295456801583,0.0008223246248654417,0.42706191328512594,0.38551508622302827
Neuronal,L5,Vip_4,-8.387493093749651e-05,4.705407665600068e-05,0.08985213522088045,-7.900595285075305e-07,0.9868089642208149,3.688748518754902e-07,0.8938683581142635,0.13838662272284552,24,0.000182124737338225,9.914058355588335e-05,0.42706191328512594,0.4578180223159147
Non-neuronal,L6,L5 IT_6,8.388682726584781e-05,4.74964858104573e-05,0.0926285417952456,-3.813316861164125e-05,0.4328236382585601,2.503723586441768e-06,0.37439453370590337,0.19207532541258865,24,0.0,8.720205304905e-05,0.40643135685668985,0.4222109883138842
Neuronal,L4,Astro_4,0.015004465708792384,0.008603981480101055,0.09652872105614604,-0.0014262052163577024,0.8703868799103728,0.00034171251555023356,0.5014930728805582,0.16404175099589102,24,0.019827515765312758,0.03559930549640227,0.45101639941447946,0.4012008441649628
Neuronal,L5,L4 IT_1,0.012303142186291584,0.007102948767380978,0.09864832557464945,0.00024453879104998494,0.9729568565499496,0.00034029276504875987,0.4186872124699246,0.17537332379145854,24,0.10650327283594414,0.11970928582551636,0.45101639941447946,0.4688427740928852
Neuronal,L4,L2/3 IT_5,0.0021411398027577806,0.0012422747436812648,0.10021231203434482,0.0012197073902225487,0.3392971324313675,-0.00013925815373510046,0.06763286664901137,0.24850889871412485,24,0.006349940090342918,0.008231579363599549,0.45101639941447946,0.4012008441649628
Neuronal,L5,Chandelier_1,-0.000301899596985438,0.0001754729095147329,0.10077928788912485,-0.0002429467273749869,0.18267895738996656,-8.581760340995199e-06,0.40922547403778886,0.25765220624596563,24,0.0009174953869903998,0.000573094864239399,0.45101639941447946,0.4688427740928852
Non-neuronal,L6,Astro_4,0.011585437974632847,0.006735345804223256,0.10085250537574289,-0.0007544090749994001,0.9121912600763427,0.0005748128830458868,0.15686077579795854,0.23091585293586991,24,0.03515035152463975,0.048163603486388325,0.42228686697944184,0.4222109883138842
Neuronal,L2/3,Oligo_4,-0.00023363033775777712,0.00013601279609106693,0.10129513544546097,0.0001164586954515706,0.4033691025232763,-5.586272590483894e-06,0.48717067711283113,0.1749737889886268,24,0.0006267752280658601,0.00038836271467772586,0.45101639941447946,0.43893858001680663
Neuronal,L6,L5/6 NP_3,-0.00365914679109682,0.0021379033695725323,0.10244323044792782,-0.0004777693487103517,0.8259354464218085,1.5230847961273872e-07,0.999032425511891,0.13509707321329278,24,0.020184238715333692,0.016485672798501473,0.45101639941447946,0.41404149822878117
Non-neuronal,L2/3,L2/3 IT_2,-0.0005757493074996818,0.00033687387560795914,0.10290633262046718,-9.12985969505751e-05,0.7897582039436379,4.554776379677135e-06,0.8180970756081458,0.13301189643381495,24,0.0009117148914054666,0.00034016942090453337,0.42228686697944184,0.3687476918900074
Neuronal,L4,Vip_1,-0.001158185975812951,0.000678588545417913,0.10334726357608912,0.0013405092531253388,0.06288739451207331,7.032208067819819e-06,0.8600362608089975,0.24354356624858942,24,0.007195760735815584,0.006167520724018959,0.45101639941447946,0.4012008441649628
Neuronal,L2/3,Lamp5_2,0.0007090291282509786,0.0004175027692082788,0.10496357348227985,-0.00012760549667857092,0.7637102466050395,8.906006524859441e-06,0.7169812854120099,0.14045836633451503,24,0.0022503080511198747,0.002971799631568775,0.45101639941447946,0.43893858001680663
Non-neuronal,L5,L6b_2,0.0003456905215999009,0.00020363029738240361,0.10508317013586917,0.0002177143793563785,0.2991114179485114,1.2590279354017032e-05,0.2992639369392745,0.24587106955591054,24,0.0003402643217503083,0.0007367484994213249,0.42228686697944184,0.42783862126746736
Neuronal,L6,Sst Chodl_1,0.00032362303204134916,0.00019133325186038933,0.10628288600662537,-6.838698738999864e-05,0.7252918443785601,-7.179659239386e-06,0.5251361893934758,0.13539496273521112,24,0.0007129946444984167,0.0010122995112964582,0.45101639941447946,0.41404149822878117
Neuronal,L4,L4 IT_3,0.00036645101522521595,0.00021693805795538175,0.10671215835612395,-3.284631584402715e-05,0.881515972313818,-9.36234782176295e-06,0.4656186839126556,0.13539159212743768,24,0.0005799013359955333,0.0009193354695493083,0.45101639941447946,0.4012008441649628
Non-neuronal,L6,Sst Chodl_1,0.00017902107083054775,0.00010610657777592369,0.10710415021288654,2.171843312915854e-06,0.9839197732883651,-4.188999952882027e-06,0.5040148489163263,0.13243500267846187,24,0.00011832118742621666,0.00028665977198836666,0.42228686697944184,0.4222109883138842
Non-neuronal,L6,L6b_2,0.0005860673570566407,0.00034742693768971945,0.10716305066794185,-0.00011721089101408751,0.740089046558008,-3.124337001393639e-05,0.13682362086999192,0.1933234599908591,24,0.0009287684996775418,0.0014240438095801998,0.42228686697944184,0.4222109883138842
Neuronal,L6,L4 IT_3,0.0001505759922652645,8.945556775236081e-05,0.10787278203932027,3.212765982959588e-05,0.7240254999618145,-3.442018611590405e-07,0.947782004047453,0.13448241734327981,24,0.00010076116647605834,0.0002531218335671833,0.45101639941447946,0.41404149822878117
