stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,scz_pval_fdr_global,scz_pval_fdr_stratum
L5,L2/3 IT_13,-0.006729390765731364,0.007607478355139284,0.38689652920106476,0.004121474002268113,0.5950398130488018,6.374356620633703e-05,0.886613394761797,0.0488241583432526,24,0.6183874722003263,0.6727954899894707
L6,Vip_9,-6.34691724219582e-05,7.177602883243806e-05,0.3870591513038717,-1.4063929197620598e-05,0.8470767835568143,5.142088746854369e-06,0.23121765534926703,0.0929806943408017,24,0.6183874722003263,0.5625761159960915
L6,L5 IT_3,9.81143279934629e-05,0.00011153848904219571,0.3894986794240455,0.00010160886811306451,0.3745335157089885,6.4762351488975576e-06,0.32889489067190647,0.1441117117481754,24,0.6197598094722827,0.5625761159960915
L2/3,Sst_4,3.823679364787049e-05,4.366339420651592e-05,0.3915800798878686,-3.109218769947448e-05,0.4859013770198296,-1.0135197451843178e-06,0.6933367584935457,0.06288141840139794,24,0.6197598094722827,0.6433101312443554
L5,L5 ET_2,-0.0006474516032707214,0.0007407461459002672,0.39246403582719125,-0.00018494067272662893,0.8059491085663613,1.7228975798697722e-05,0.6927518748060608,0.04372773636559524,24,0.6197598094722827,0.6727954899894707
L6,L2/3 IT_3,6.376142892974373e-05,7.324267272492062e-05,0.3943290532682884,8.075293739984915e-05,0.28469235245985175,-6.317320946342777e-07,0.8833080952886707,0.09567660086665852,24,0.6203099337951151,0.5625761159960915
L2/3,Vip_4,-0.0001053390906165781,0.00012410259231088487,0.40603425924988445,-3.259148400731136e-05,0.7961173821818865,-3.1233715507811964e-06,0.6690854818088287,0.05626666755825949,24,0.6362759081731906,0.6553535412454276
L4,Sst_3,-0.00032890146888717837,0.0003945170512182737,0.41430698052321546,-0.000593590695947136,0.14918774877815666,-1.3497131011835672e-05,0.5620136431945804,0.1672863024064608,24,0.644792408710323,0.6286123658794179
L5,Endo_1,0.005918880985361825,0.007104568922679735,0.4146220134249754,-0.009078819178685669,0.21722250638910554,-0.0001536709403611254,0.7132107578613983,0.10665814622626324,24,0.644792408710323,0.699674647654646
L4,Sst_4,8.08810883303424e-05,9.822610572404516e-05,0.41998144004959237,-4.302924822759083e-05,0.6669515569089394,-1.1584207629255073e-05,0.05557314880967356,0.19631936349752788,24,0.6506530643192548,0.6286123658794179
