layer,subclass,outcome,n_samples,n_scz,n_ctrl,ctrl_mean,scz_mean,log2fc,coef,se,tstat,pval,converged,fdr
L6,L5/6 NP,proportion,24,12,12,0.011216734686376776,0.010014804827006216,-0.16351844728909956,-0.22108980835640146,0.16865280080104306,-1.310916909214081,0.20551003163296702,True,0.5911932416838778
L6,L6 CT,proportion,24,12,12,0.054714797835523625,0.054709495519358164,-0.00013981584908777972,-0.10073586411562974,0.2333164297971813,-0.4317564099673478,0.6707782109907535,True,0.8695273105435694
L6,L6 IT,proportion,24,12,12,0.12311585597269141,0.10975173361755823,-0.165772848617279,-0.2898790886862498,0.3744284103098431,-0.7741909553454346,0.44834501306721003,True,0.7420942255573442
L6,L6 IT Car3,proportion,24,12,12,0.032731664377370705,0.03078538564647271,-0.08844132285626949,-0.2888206179298794,0.4235057566587683,-0.6819756600441942,0.5034838899891989,True,0.7717636269907429
L6,L6b,proportion,24,12,12,0.0472952454178518,0.050693596952309274,0.10010837665575587,-0.034334298407891595,0.4867992046081759,-0.07053072002352023,0.944508336260361,True,0.9759991747182368
L6,Lamp5,proportion,24,12,12,0.008771924279279392,0.010020684058463441,0.1920157333704993,0.03468645170223128,0.20284426085709034,0.1710004096525506,0.8660313785276029,True,0.9521810968104535
L6,Microglia-PVM,proportion,24,12,12,0.15142173588178795,0.08682572104134063,-0.8023779207291626,-0.19026610086907636,0.3781609415846006,-0.5031352526038462,0.6206519037259837,True,0.8504309782763663
L6,OPC,proportion,24,12,12,0.03300043347370649,0.03760284703125797,0.18835692210882163,0.11437691267816869,0.11886486989948958,0.9622431991460905,0.348014830322759,True,0.7095447996871785
L6,Oligodendrocyte,proportion,24,12,12,0.2783557528618898,0.2890901530921123,0.05458956885384778,0.022620149485083507,0.16785862153479983,0.13475715026287155,0.8942211947679909,True,0.9616431331676996
L6,Pax6,proportion,15,10,5,0.00065532020258876,0.00058304512217559,-0.16859246995603777,-0.37726342134872803,0.4659829954623374,-0.8096077003290991,0.43700609332388957,True,0.7410713531528379
L6,Pvalb,proportion,24,12,12,0.020766982132153864,0.0153584191042595,-0.43526185621617086,-0.34984299755534254,0.17949081030334138,-1.9490858443621941,0.06620478722025064,True,0.33909769064030815
L6,Sncg,proportion,20,11,9,0.0009747493572633555,0.0013433574370736636,0.4627400209681332,0.25496385859509685,0.31882699590525987,0.7996934446255608,0.43637016830757885,True,0.7410713531528379
L6,Sst,proportion,24,12,12,0.028631973480845046,0.029405107854040727,0.038439669491600596,-0.05798294067168175,0.13214918722458197,-0.43876880281633657,0.6657778226044612,True,0.8695273105435694
L6,Sst Chodl,proportion,22,11,11,0.0010893269161986454,0.0011040742864296639,0.019400261547861983,-0.029937348287102206,0.2773438422561904,-0.1079430790442725,0.9153046092463129,True,0.9616431331676996
L6,VLMC,proportion,24,12,12,0.011834353992855333,0.028214718887441658,1.253467020420839,0.5315405134213529,0.490946342393434,1.0826855554723485,0.2924976390576499,True,0.6801382758263262
L6,Vip,proportion,24,12,12,0.0039714224548635085,0.004944836641651833,0.3162670268655825,0.17075950171729626,0.18433906702574426,0.9263337634959847,0.3658903119922883,True,0.7146045171211984
L1,Astrocyte,density_per_mm2,24,12,12,54.683959306304246,79.07299822977207,0.5320674259025792,0.20322673622719678,0.21296731629571747,0.9542625589787903,0.35193487092112985,True,0.7106377201292045
L1,Chandelier,density_per_mm2,13,7,6,0.088113659140999,0.16747188100396676,0.9264812991061236,0.06047084634890639,0.07717274682652181,0.7835777374212174,0.45585788141379713,True,0.7420942255573442
L1,Endothelial,density_per_mm2,24,12,12,17.29384366984351,22.13445368010162,0.3560352124258858,0.1961156848819829,0.18069943096443505,1.0853143467871906,0.29136165305612255,True,0.6801382758263262
L1,L2/3 IT,density_per_mm2,24,12,12,2.6796943992482105,5.049201405799792,0.9139867450885105,0.49644426046779033,0.2751171768143422,1.8044829705518775,0.08703189455925205,True,0.4123160468563763
L1,Lamp5,density_per_mm2,24,12,12,7.247863842910665,8.566935111526522,0.24122330770940092,0.14430400845598998,0.14559098891988248,0.9911603013796361,0.3340629782981468,True,0.6966218803221391
L1,Microglia-PVM,density_per_mm2,24,12,12,14.382687467020071,20.00590563494063,0.47609266388927657,0.2451672663524909,0.1952243652062018,1.2558230940771042,0.2244042797571918,True,0.6265645958263352
L1,OPC,density_per_mm2,24,12,12,7.249891535659949,8.823217397323686,0.28334542090101356,0.1703340071393119,0.18052975131845073,0.9435231915810168,0.3572574906036074,True,0.7117528873067372
L1,Oligodendrocyte,density_per_mm2,24,12,12,11.022489045230953,12.7244561710736,0.20715395533431205,0.00398772630449773,0.18086900840555178,0.02204759311532404,0.9826398912953099,True,0.9886484140164781
L1,Pax6,density_per_mm2,24,12,12,3.17067105473375,4.076546236922979,0.3625591674280829,0.21403266744048538,0.1713332458509777,1.2492185411968837,0.2267567108704832,True,0.6265645958263352
L1,Sncg,density_per_mm2,24,12,12,5.948224473554961,9.247016062480938,0.6365288019583134,0.33671790636883875,0.19544771935148075,1.7228029443684971,0.10116168345805764,True,0.43355007196310413
L1,Sst,density_per_mm2,19,9,10,0.15735640079968158,0.3708459920372972,1.2367843125400295,0.16111507596905528,0.10340282403588016,1.5581303264323738,0.1415154679726632,True,0.5123835909355047
L1,VLMC,density_per_mm2,24,12,12,5.534382706500426,8.976162220668735,0.6976763383384534,0.3623557670099813,0.2426412745300956,1.4933805788472196,0.15175863837063017,True,0.5140211944811667
