pool,subclass,depth_bin,n_ctrl,n_scz,ctrl_mean,scz_mean,log2fc,coef,se,tstat,pval,fdr
Neuronal,L5 ET,0.29166666666666663,12,12,0.005402566054080993,0.005387985813775799,-0.003898753917753155,-0.23487845224516035,0.25566637158498734,-0.9186912255571447,0.3697733490736217,0.7357418518172038
Neuronal,L5 ET,0.375,12,12,0.024798694958891903,0.022708173628831416,-0.12705252246439333,-0.23648301353637835,0.22584570868527973,-1.0470998758976726,0.30819205352820445,0.6792804445111444
Neuronal,L5 ET,0.4583333333333333,12,12,0.05485213115188397,0.05163549814014886,-0.08718445004376826,-0.11528785432970062,0.15304945518064933,-0.7532719028213629,0.46051942308362587,0.7505057136003238
Neuronal,L5 ET,0.5416666666666666,12,12,0.047366594644878766,0.037395479913670454,-0.34100605665485545,-0.30941172092933045,0.18658949178660975,-1.6582483716885006,0.11368562322762253,0.501144788105438
Neuronal,L5 ET,0.625,12,12,0.056759443112314956,0.048593292844406964,-0.22410323703891472,-0.18677192754544852,0.12173683244708783,-1.5342269368362924,0.14145778823243627,0.5456228974679684
Neuronal,L5 ET,0.7083333333333333,12,12,0.04450704299057154,0.03740894491487701,-0.25065037599726775,-0.22564929049868288,0.19407150313610955,-1.1627121285314448,0.2593426254978365,0.6631366851777297
Neuronal,L5 ET,0.7916666666666666,12,12,0.004873601177983089,0.003456010762465562,-0.49588048539947815,-0.6478575169424591,0.8700096047793219,-0.7446555915975068,0.465591507511312,0.7505057136003238
Neuronal,L5 ET,0.875,12,12,0.003261411995921609,0.0005102016331483632,-2.6763572780802365,-3.9324984242414227,1.3934949709764957,-2.8220399112640595,0.010887635932555324,0.2973839990281474
Neuronal,L5 ET,0.9583333333333333,11,12,0.00012913223140495868,9.80392156862745e-05,-0.39741829447162585,-0.15087547070814655,0.9675861586248182,-0.1559297529871431,0.877823827577689,0.9437494258732715
Neuronal,L5 IT,0.041666666666666664,12,11,0.0,0.0,,1.1102230246251565e-15,3.379029047939581e-15,0.32856273470100333,0.7462778052916658,0.9161259185409056
Neuronal,L5 IT,0.125,12,12,0.00011190215584188788,0.00027999406524095016,1.323158417399187,1.2543184587450873,1.0912489421997207,1.1494338369910846,0.2646410259011845,0.6631366851777297
Neuronal,L5 IT,0.20833333333333331,12,12,0.0016536257209047044,0.002250936508438629,0.44489262956744585,0.9217294414771837,0.7294787964223014,1.2635452133739427,0.22167773769146948,0.6218492381994469
Neuronal,L5 IT,0.29166666666666663,12,12,0.02736911308477177,0.03125874785938046,0.1917113051266187,0.219316350979603,0.20552258731936066,1.0671155605821967,0.29929182261452153,0.6734066008826735
Neuronal,L5 IT,0.375,12,12,0.10649635081559387,0.10133383096410958,-0.07168808841420723,-0.042381473038732076,0.12416135042705825,-0.34134191431519706,0.736592182613585,0.9161259185409056
Neuronal,L5 IT,0.4583333333333333,12,12,0.22369451814896366,0.19808883754261608,-0.17538231663981235,-0.17544102172919324,0.08976536812639337,-1.9544399515207802,0.06552664923397075,0.4142905371945691
Neuronal,L5 IT,0.5416666666666666,12,12,0.28691750779164965,0.2894381182532136,0.012618929122589873,-0.0019111795885717736,0.0716029638734352,-0.026691347469218713,0.9789842685134903,0.9927727793376239
Neuronal,L5 IT,0.625,12,12,0.36941044600744705,0.36057588445981764,-0.034921751068072986,-0.04338312600713708,0.09275189722836669,-0.46773303084380513,0.6452958221898606,0.8875338580173058
Neuronal,L5 IT,0.7083333333333333,12,12,0.16372349890858895,0.14019887097921768,-0.223786672447384,-0.21072486245479655,0.13586793840094807,-1.5509535578065865,0.13741028937962826,0.5456228974679684
