region,subclass,outcome,n_ctrl,n_scz,ctrl_mean,scz_mean,log2fc,coef,pval,fdr
L1,Oligodendrocyte,density_per_mm2,12,12,10.86753391676219,12.630901094425665,0.21693296717321045,0.016149101466176985,0.9348723536240782,0.9702111711150226
L1,Pax6,density_per_mm2,12,12,2.952929303086749,3.5542849218762655,0.2674125197404353,0.14380217949528218,0.43640587840477324,0.8340505735396941
L1,Sncg,density_per_mm2,12,12,5.441300927262991,8.27079053779224,0.6040736136826127,0.3099411164993631,0.1480157202364249,0.6385821073057188
L1,Sst,density_per_mm2,9,6,0.06811246511570074,0.07968370820102726,0.22636594003341032,0.0077538174901733425,0.6981686951915075,0.9016555068705658
L1,VLMC,density_per_mm2,12,12,5.74754298426317,9.307710368625374,0.6954809680850333,0.34265525115024886,0.21024248307644172,0.7421808503070517
L1,Vip,density_per_mm2,12,12,1.9409606416945675,1.8056511086978497,-0.10425170424738639,0.03325040523060338,0.8002897170696512,0.919809699704145
L2/3,Astrocyte,density_per_mm2,12,12,57.55562820318682,55.31549418676183,-0.057273368139260365,-0.026062062434801136,0.8060427453821083,0.919809699704145
L2/3,Chandelier,density_per_mm2,12,12,6.656940322541309,5.85479928207598,-0.1852395227965236,-0.004143656350393987,0.9737047860386048,0.9870939172708767
L2/3,Endothelial,density_per_mm2,12,12,59.879943789392605,46.95102912336608,-0.3509160863339877,-0.18675864455813262,0.05557525870387461,0.5183612571288986
L2/3,L2/3 IT,density_per_mm2,12,12,115.93495978811347,106.99412138366041,-0.1157841393807503,-0.0244038306470008,0.836387561497017,0.9326688436877295
L2/3,L4 IT,density_per_mm2,12,12,0.842375537293595,0.9702577108363987,0.20390445254766051,0.10361890580796315,0.2642859788324833,0.7650860729300396
L2/3,L5 ET,density_per_mm2,12,12,1.098223324783934,0.7850455551091481,-0.48432317847295525,-0.17019554798351982,0.1407967591288506,0.637147843060245
L2/3,L5 IT,density_per_mm2,12,12,4.472562714178727,3.570729687988724,-0.3248827889558511,-0.151390764373434,0.27622020460220004,0.7650860729300396
