celltype,level,subclass,panel,topN,n_in_panel,genes_in_panel
L6b,subclass,L6b,Xenium_v1,50,3,HS3ST4; POU6F2; RXFP1
L6b,subclass,L6b,MERFISH_180,10,1,FRMPD4
L6b,subclass,L6b,MERFISH_180,20,2,FRMPD4; KIAA1217
L6b,subclass,L6b,MERFISH_180,50,11,FRMPD4; KIAA1217; NFIA; ROBO2; DGKG; DLC1; SATB2; ADAMTSL1; CACNA2D3; CNTNAP5; SEMA3E
L6b,subclass,L6b,MERSCOPE_250,10,2,TLE4; LMO3
L6b,subclass,L6b,MERSCOPE_250,20,4,TLE4; LMO3; ARSJ; DPP4
L6b,subclass,L6b,MERSCOPE_250,50,14,TLE4; LMO3; ARSJ; DPP4; DIRAS2; NFIA; SEMA3A; PCDH11X; POU6F2; COL19A1; DLC1; ADAMTSL1; CNTNAP5; SEMA3E
L6b,subclass,L6b,MERSCOPE_4K,10,8,ZFHX3; HS3ST4; TLE4; LMO3; CELF2; PCSK5; FRMPD4; CDH10
L6b,subclass,L6b,MERSCOPE_4K,20,13,ZFHX3; HS3ST4; TLE4; LMO3; CELF2; PCSK5; FRMPD4; CDH10; ARSJ; MDGA2; DPP4; ZFPM2; CAMK2D
L6b,subclass,L6b,MERSCOPE_4K,50,34,ZFHX3; HS3ST4; TLE4; LMO3; CELF2; PCSK5; FRMPD4; CDH10; ARSJ; MDGA2; DPP4; ZFPM2; CAMK2D; DIRAS2; NFIA; DCHS2; SEMA3A; ROBO2; MCTP1; PCDH11X; POU6F2; MIR137HG; DGKG; SYNPO2; NRXN1; COL19A1; DGKH; DLC1; ADAMTSL1; CDH11; CACNA2D3; CNTNAP5; SEMA3E; KCNMB4
L6b,subclass,L6b,Xenium_5K,10,1,ZFHX3
L6b,subclass,L6b,Xenium_5K,20,3,ZFHX3; DPP4; CAMK2D
L6b,subclass,L6b,Xenium_5K,50,9,ZFHX3; DPP4; CAMK2D; SEMA3A; PCDH11X; SYNPO2; RXFP1; SATB2; CDH11
Lamp5,subclass,Lamp5,Xenium_v1,10,3,GAD2; DNER; MYO16
Lamp5,subclass,Lamp5,Xenium_v1,20,6,GAD2; DNER; MYO16; EGFR; PTCHD4; ALK
Lamp5,subclass,Lamp5,Xenium_v1,50,9,GAD2; DNER; MYO16; EGFR; PTCHD4; ALK; CXCL14; KIT; LAMP5
Lamp5,subclass,Lamp5,MERFISH_180,10,4,SV2C; FGF13; GAD2; GRIN2A
Lamp5,subclass,Lamp5,MERFISH_180,20,5,SV2C; FGF13; GAD2; GRIN2A; EGFR
Lamp5,subclass,Lamp5,MERFISH_180,50,9,SV2C; FGF13; GAD2; GRIN2A; EGFR; GRIP1; LAMP5; KAZN; FBXL7
Lamp5,subclass,Lamp5,MERSCOPE_250,10,4,SV2C; SLC6A1; FGF13; ADARB2
Lamp5,subclass,Lamp5,MERSCOPE_250,20,6,SV2C; SLC6A1; FGF13; ADARB2; EGFR; PTCHD4
Lamp5,subclass,Lamp5,MERSCOPE_250,50,14,SV2C; SLC6A1; FGF13; ADARB2; EGFR; PTCHD4; MGAT4C; GRIP1; KIT; LAMP5; FBXL7; CACNA2D1; SGCZ; TPD52L1
Lamp5,subclass,Lamp5,MERSCOPE_4K,10,7,SV2C; SLC6A1; FGF13; GAD2; GRIN2A; FREM1; ADARB2
Lamp5,subclass,Lamp5,MERSCOPE_4K,20,12,SV2C; SLC6A1; FGF13; GAD2; GRIN2A; FREM1; ADARB2; EGFR; PTCHD4; NYAP2; DLX6-AS1; DOCK10
