supertype,rank,gene,score,logfoldchange,pval_adj
L5 IT_7,3,ANO3,31.118624,2.8741395,2.1585436292365123e-209
L5 IT_7,4,RXFP1,30.589613,2.955683,2.0197593403460266e-202
L5 IT_7,5,MKX,30.209803,3.055888,1.6912332997330464e-197
L5 IT_7,6,SLIT3,30.122541,3.0439398,1.9656275278821115e-196
L5 IT_7,7,PART1,29.53143,2.664641,7.802207843273878e-189
L5 IT_7,8,MYO1D,29.327662,2.2133586,2.764351189383975e-186
L5 IT_7,9,ADTRP,28.659807,3.5463862,6.455342981351882e-178
L5 IT_7,10,PID1,27.410147,1.8930002,9.968784415653839e-163
L5/6 NP_1,1,HTR2C,37.280025,6.300208,1.6606739487984702e-300
L5/6 NP_1,2,SORCS2,35.84779,3.704416,4.7801974853308736e-278
L5/6 NP_1,3,CDH6,35.61923,4.028287,1.1301424568855609e-274
L5/6 NP_1,4,CD36,35.16991,4.9746447,6.925809515636256e-268
L5/6 NP_1,5,CALCRL,34.962807,4.8281746,7.94532740401042e-265
L5/6 NP_1,6,MAPK10,33.82178,1.3196541,6.474007858720535e-248
L5/6 NP_1,7,SPON1,33.569057,3.8737178,2.84899036535711e-244
L5/6 NP_1,8,ETV1,33.287163,3.2540224,3.159740753409253e-240
L5/6 NP_1,9,CDH11,32.70882,2.6088893,5.6188169463145284e-232
L5/6 NP_1,10,MEIS2,32.669395,3.6182463,1.85559926979375e-231
L5/6 NP_2,1,HTR2C,36.90188,6.109717,2.0702006352480292e-294
L5/6 NP_2,2,SORCS2,35.653835,3.6923275,4.9337800530342865e-275
L5/6 NP_2,3,MEIS2,34.02951,3.9296257,1.3057351167697644e-250
L5/6 NP_2,4,CALCRL,33.512966,4.460451,3.745921376712041e-243
L5/6 NP_2,5,ETV1,32.67271,3.2257745,3.662797101223977e-231
L5/6 NP_2,6,GRM3,32.348804,3.0290594,1.1541177522193481e-226
L5/6 NP_2,7,FGFR1,32.25466,3.106604,2.076128330151591e-225
L5/6 NP_2,8,TOX,32.09089,3.452586,3.546230211716345e-223
L5/6 NP_2,9,SPOCK1,32.06634,2.341164,6.933292404108422e-223
L5/6 NP_2,10,CDH6,31.748014,3.3256352,1.6240683525136508e-218
L5/6 NP_3,1,HTR2C,17.974453,6.093859,1.483303491720646e-68
L5/6 NP_3,2,GHR,17.669498,3.3968344,1.7295596656443169e-66
L5/6 NP_3,3,SORCS2,17.52461,3.5862343,1.488223463531599e-65
L5/6 NP_3,4,CALCRL,17.371494,4.5550838,1.628461411903719e-64
L5/6 NP_3,5,CD36,16.52141,4.17879,2.4712067654551425e-58
L5/6 NP_3,6,GRM3,16.496357,3.2210166,3.1189849104295377e-58
L5/6 NP_3,7,COL11A1,16.415548,3.1297903,1.0155501977684788e-57
L5/6 NP_3,8,FGFR1,16.27835,3.1868796,8.439833402952246e-57
L5/6 NP_3,9,CAMK2D,16.081951,2.1693435,1.8218422783392e-55
L5/6 NP_3,10,TOX,16.036066,3.5424044,3.435612394981497e-55
L5/6 NP_4,1,HTR2C,30.013348,6.0822864,3.1557395172120365e-194
L5/6 NP_4,2,NPSR1,28.969809,7.385081,3.7939282514120984e-181
L5/6 NP_4,3,SORCS2,28.82349,3.6256027,1.7435945121787324e-179
L5/6 NP_4,4,CDH11,28.761044,2.9449322,7.91210241938152e-179
L5/6 NP_4,5,CD36,27.778105,4.6830807,7.661316915127241e-167
L5/6 NP_4,6,FGFR1,27.435926,3.2793088,7.016310648062336e-163
L5/6 NP_4,7,TOX,26.64889,3.5434062,1.106574570368479e-153
L5/6 NP_4,8,GRM3,26.33946,3.0342786,3.6163190617697536e-150
L5/6 NP_4,9,NXPH2,26.12168,3.4325926,9.931447937447636e-148
L5/6 NP_4,10,SPON1,25.999525,3.7381198,2.1886830965359594e-146
L5/6 NP_6,1,HTR2C,18.463367,6.2114515,1.9551308992467177e-72
L5/6 NP_6,2,MPP7,17.32021,3.20749,6.749759823895736e-64
L5/6 NP_6,3,SORCS2,17.306295,3.5012858,6.749759823895736e-64
L5/6 NP_6,4,GHR,17.036045,3.1739872,5.327082939338872e-62
L5/6 NP_6,5,FSHR,16.379652,6.488625,2.5668432520548453e-57
L5/6 NP_6,6,ERG,16.340181,4.668959,4.0897996889081505e-57
L5/6 NP_6,7,MEIS2,16.30216,3.639169,6.535190307533698e-57
L5/6 NP_6,8,TOX,16.225264,3.5375628,2.0065351347289013e-56
L5/6 NP_6,9,CDH11,16.098429,2.5395594,1.3961387145028248e-55
L5/6 NP_6,10,TRPC3,16.076092,3.4085457,1.8023157897702717e-55
L6 CT_1,1,TRPM3,35.83352,3.99846,1.5950493921158922e-277
L6 CT_1,2,FOXP2,35.132942,4.1269555,5.0853548156889275e-267
L6 CT_1,3,SYNPO2,33.792046,2.8664672,4.131493880793937e-247
