n_addon,total_genes,total_coverage,mean_coverage,median_coverage,types_ge5,types_ge3,types_all10,gene_added,mean_eff_weighted
379,645,1165,9.1015625,9.0,128,128,56,INPP5D,2.9909723334358507
380,646,1166,9.109375,9.0,128,128,57,DGKH,2.9918861169479873
381,647,1167,9.1171875,9.0,128,128,58,DIRAS2,2.996316741564376
382,648,1168,9.125,9.0,128,128,58,COL5A3,2.999439640816458
383,649,1169,9.1328125,9.0,128,128,59,PTGDS,3.00256254006854
384,650,1170,9.140625,9.0,128,128,59,B4GALT6,3.0041064520241596
385,651,1171,9.1484375,9.0,128,128,59,IL1RAPL1,3.006121217013294
386,652,1172,9.15625,9.0,128,128,60,ZNF804B,3.006542383764761
387,653,1173,9.1640625,9.0,128,128,61,GPR149,3.008090442017748
388,654,1174,9.171875,9.0,128,128,61,SCG2,3.014812882676656
389,655,1175,9.1796875,9.0,128,128,62,COLEC12,3.022625382676656
390,656,1176,9.1875,9.0,128,128,62,TMEM163,3.023782279039871
391,657,1177,9.1953125,9.0,128,128,62,TTLL7,3.026905178291953
392,658,1178,9.203125,9.0,128,128,63,SYN3,3.02950178555085
393,659,1179,9.2109375,9.0,128,128,63,IGFBP7,3.032624684802932
394,660,1180,9.21875,9.5,128,128,64,SERPINE2,3.036097352631086
395,661,1181,9.2265625,9.5,128,128,64,CALB1,3.0407431089026273
396,662,1182,9.234375,10.0,128,128,65,GPR158,3.0438660081547093
