supertype,gene,frac_snrna,mean_snrna,frac_merfish,mean_merfish,n_cells_snrna,n_cells_merfish
Micro-PVM_3-SEAAD,TLL1,0.0,0.0,0.026,0.025121393367041753,13,1000
Micro-PVM_3-SEAAD,SV2C,0.0,0.0,0.062,0.06687184945436672,13,1000
Micro-PVM_3-SEAAD,KIAA1217,0.0,0.0,0.161,0.20219997450503444,13,1000
Micro-PVM_3-SEAAD,CNTN5,0.0,0.0,0.127,0.14043669972686526,13,1000
Micro-PVM_3-SEAAD,ADAMTS3,0.0,0.0,0.044,0.048651891308518075,13,1000
Micro-PVM_3-SEAAD,LRRC4C,0.07692307692307693,0.07692307692307693,0.159,0.18804086877680767,13,1000
Micro-PVM_3-SEAAD,TACR1,0.0,0.0,0.318,1.0376147387859262,13,1000
Micro-PVM_3-SEAAD,CALB1,0.07692307692307693,0.07692307692307693,0.051,0.0540080505910539,13,1000
Micro-PVM_3-SEAAD,GALNTL6,0.0,0.0,0.028,0.027812841426283215,13,1000
Micro-PVM_3-SEAAD,DCC,0.0,0.0,0.092,0.10267939422813854,13,1000
Micro-PVM_3-SEAAD,NPAS3,0.07692307692307693,0.07692307692307693,0.178,0.2208778412376359,13,1000
Micro-PVM_3-SEAAD,ZNF804A,0.23076923076923078,0.46153846153846156,0.05,0.054903678635704105,13,1000
Micro-PVM_3-SEAAD,NTNG2,0.15384615384615385,0.15384615384615385,0.346,0.525788727847412,13,1000
Micro-PVM_3-SEAAD,NOS1,0.0,0.0,0.127,0.1975878868340238,13,1000
Micro-PVM_3-SEAAD,ETNPPL,0.0,0.0,0.408,0.7030986835883125,13,1000
Micro-PVM_3-SEAAD,ATRNL1,0.15384615384615385,0.15384615384615385,0.377,0.6826905893001292,13,1000
Micro-PVM_3-SEAAD,GRM8,0.0,0.0,0.037,0.03754233244593478,13,1000
Micro-PVM_3-SEAAD,ZMAT4,0.0,0.0,0.09,0.10211370033878327,13,1000
Micro-PVM_3-SEAAD,NKAIN2,0.15384615384615385,0.15384615384615385,0.189,0.2288261633469804,13,1000
