stratum,celltype,scz_mean,ctrl_mean,diff_mean,log2_ratio,n_scz,n_ctrl,U_stat,pval_nominal,pval_fdr_global,pval_fdr_stratum
L6,Pvalb_6,0.005070225421482233,0.006395451370176408,-0.0013252259486941746,-0.3349373420275465,12,12,42.0,0.08853377201422956,0.3621031275381989,0.3383254859115201
L2/3,Pvalb_2,0.0021679092021614998,0.0015433660311996416,0.0006245431709618581,0.48995493097928283,12,12,102.0,0.08853377201422956,0.3621031275381989,0.3702321375140509
L4,Astro_2,0.041288879446677834,0.059117742911227206,-0.01782886346454937,-0.5178273863306684,12,12,43.0,0.09987740276926413,0.38904626412027643,0.3773146326838867
L2/3,Astro_2,0.029765263572183634,0.041024194038903825,-0.01125893046672019,-0.4628320195478254,12,12,43.0,0.09987740276926413,0.38904626412027643,0.3828633772821792
L6,L5 IT_2,0.007823589037776734,0.009776917607251235,-0.0019533285694745012,-0.32151226769505376,12,12,43.0,0.09987740276926413,0.38904626412027643,0.36397022315232597
L4,Vip_21,0.05248778213007632,0.046607827558148525,0.0058799545719277965,0.17140590139525416,12,12,101.0,0.09987740276926413,0.38904626412027643,0.3773146326838867
L2/3,Oligo_1,0.0013575463878320168,0.00094499589602425,0.00041255049180776674,0.5221579975998337,12,12,101.0,0.09987740276926413,0.38904626412027643,0.3828633772821792
L6,L5 ET_1,0.00010153974568115021,4.643561035099663e-05,5.5104135330153584e-05,1.1121408092200147,12,12,99.0,0.10204772611747456,0.3937501885098783,0.36397022315232597
L4,Endo_3,5.132996848476666e-05,1.5601585942160255e-05,3.5728382542606405e-05,1.6563163219287678,12,12,95.0,0.10583099775062116,0.4045315708411594,0.38552720609154845
L5,Vip_4,7.685992723437139e-05,0.00014152196457981408,-6.46620373454427e-05,-0.8722313739093531,12,12,44.0,0.1079661679708755,0.40887187685266746,0.44847485157132905
L6,Pax6_1,0.0009408558636641084,0.0006377261636192251,0.00030312970004488335,0.5603087471141853,12,12,100.0,0.11235119769046394,0.4139787374360338,0.38779284364127875
L5,L4 IT_1,0.09422018044386654,0.08284612345445418,0.011374056989412365,0.18559980051134697,12,12,100.0,0.11235119769046394,0.4139787374360338,0.44940479076185574
L4,Lamp5_3,0.0018399810341587748,0.0023806638986336665,-0.0005406828644748916,-0.3714950697851706,12,12,44.0,0.11235119769046394,0.4139787374360338,0.39516628153197664
L2/3,Lamp5_6,7.158203864580436e-05,2.0924005179247163e-05,5.0658033466557205e-05,1.7271011984231843,12,12,96.0,0.1187837091450606,0.4337726521458017,0.43712404965382307
L6,Oligo_3,0.00424338463610165,0.000601409634059,0.00364197500204265,2.8167386549268056,12,12,99.0,0.12313340352663012,0.4405388701203641,0.4117273180421695
L2/3,Micro-PVM_1,0.002386761478099592,0.003983340524264033,-0.0015965790461644415,-0.7386822256352349,12,12,45.0,0.12602212177037309,0.4405388701203641,0.44592443087978173
L4,L4 IT_3,0.0008375026360804582,0.00049221782125125,0.0003452848148292082,0.765590390302609,12,12,99.0,0.12602212177037309,0.4405388701203641,0.41476830937478737
L5,Chandelier_1,0.00045038292761440026,0.0007029297420543332,-0.0002525468144399329,-0.6410795899102498,12,12,45.0,0.12602212177037309,0.4405388701203641,0.4693237638344928
L5,Pax6_1,0.0014875951104972333,0.0010824501600369834,0.00040514495046024986,0.4583186130203643,12,12,99.0,0.12602212177037309,0.4405388701203641,0.4693237638344928
L2/3,Sst Chodl_1,6.931324987357816e-05,4.675606426153472e-06,6.46376434474247e-05,3.6309501227212473,12,12,91.0,0.1325829823180956,0.4556843677991689,0.4517642360468442
L5,L6b_4,7.881120382508963e-05,8.022849074163216e-06,7.078835475092642e-05,3.144936325888441,12,12,91.0,0.1325829823180956,0.4556843677991689,0.47729873634514414
L6,L4 IT_3,0.0001608322299703262,6.370789594812162e-05,9.712433402220458e-05,1.3224852865421082,12,12,97.0,0.13690021981594672,0.46120547704038334,0.44359436613081604
L4,Vip_6,2.0631587784316665e-05,6.16999648667934e-05,-4.106837708247674e-05,-1.5353250699084777,12,12,50.0,0.13912568918568166,0.46120547704038334,0.41476830937478737
L4,L5 IT_2,0.00024228736901643332,0.00011622450009701877,0.00012606286891941453,1.05338729372924,12,12,98.0,0.1392241769628668,0.46120547704038334,0.41476830937478737
L5,Lamp5_Lhx6_1,0.0016453159157805836,0.001998696996116858,-0.0003533810803362746,-0.28054020756760395,12,12,46.0,0.14095521914437145,0.46120547704038334,0.4831132565949575
L6,L6 IT_2,0.08218698686368323,0.09668897645993003,-0.014501989596246809,-0.23443880235325845,12,12,46.0,0.14095521914437145,0.46120547704038334,0.44359436613081604
L4,VLMC_1,0.030335103647690233,0.017217630475017433,0.0131174731726728,0.8170653994385564,12,12,98.0,0.14095521914437145,0.46120547704038334,0.41476830937478737
L5,Lamp5_5,0.00044963651860058327,0.00031635533612333337,0.0001332811824772499,0.5058651303678787,12,12,97.0,0.15712252158396303,0.47542557882165576,0.4831132565949575
L6,L6 CT_1,0.0004744103045185417,0.00030243590273745,0.00017197440178109172,0.6477813777154067,12,12,97.0,0.1572127533400038,0.47542557882165576,0.454642286685957
L4,VLMC_2,0.057179627447841025,0.0501562595363795,0.007023367911461527,0.18906792572217207,12,12,97.0,0.1572127533400038,0.47542557882165576,0.41476830937478737
L5,Sst_2,0.001025245562213975,0.0012959890740229252,-0.0002707435118089502,-0.33779034283963866,12,12,47.0,0.1572127533400038,0.47542557882165576,0.4831132565949575
L2/3,Pvalb_8,0.026709860297206536,0.023874172893060628,0.0028356874041459076,0.16191526218675903,12,12,97.0,0.1572127533400038,0.47542557882165576,0.5165561895457268
